Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GE,,,,,0.00244684234994739,,0.00376435159043855,,,0.0235336712527154,,0.00467761018096091,0.00585445816989638,0.0454244729092519,0.00290527992018725,0.00228227999771772,,,,,0.000254044386635233,0.0166830352846061,0.00699665831244779,0.0101278638814016,0.00215387266304816,,
AZ,0.01469076815389,,,,,0.0125580060278429,,0.0112892300745089,0.0108949769616633,0.00905141202027516,0.000625030626531327,0.0184332147300867,,0.00541995627901935,0.00463656421472699,0.00674721847125278,0.0204061584770583,0.00405335892514395,0.000921092727056303,,0.00497201447036826,0.0102389843885349,0.0231846282372598,0.0121668210916442,0.00338466011889377,,0.00650708865083819
TW,1.28245923314235,1.59237765477555,1.41955658423681,1.58651278791139,0.773383248917272,1.13122757498924,1.04275362318841,1.05058026642583,1.43417618085662,1.31392559739319,1.43121062303115,1.36363100565366,1.61103955662237,1.54820689779769,1.47307087218449,1.71027786758972,1.35936584770583,1.27313527497288,1.03971806077508,1.00861114250198,0.986799853670433,1.01773277637683,0.787852965747703,0.852261623989218,0.605197294735935,0.72255867110236,0.642710036358313
XK,,,,,,,,,,,,,,,,,0.00929757159127888,,0.000510143350281429,,,,,0.000350966559973046,0.000717956836391833,,
CU,0.0224682290721489,0.00914388822511034,0.0138059934218541,,0.00550539528738163,0.0047840022963211,,0.0436893203883495,0.0226978686701319,0.0113789147356988,0.000729202397619881,0.0333980921612713,0.0158070370587202,0.0221616592292822,0.00703478377652431,0.00618117499381882,0.0212196957370648,0.00166903112743053,0.00529037359498019,0.0182694843108449,0.00722616047475815,0.012068047508133,0.00995183792815372,0.103384433962264,0.0381138537089687,0.00452621811845113,0.00417783851052927
GH,,,,,,,,,,,,,,0.019873173023071,0.0594758451325736,,,,0.00510143350281429,0.00376690398161751,0.000406471018616373,,0.00417710944026734,0.00242166442048518,,0.00339466358883835,
TZ,,0.00406395845017191,,,,,,,,,,,,,,,,0.000715298339314028,,0.00926031189964968,0.000677451020242257,0.0153997189551291,0.0121832289055973,,,,0.000187704301993607
ER,,,,,,,,,,,,,,0.000903326046503225,,,,,,,,,,,,,
CY,,,,,0.000815613301035014,0.00257140123427259,0.00235271974402409,0.0451569202980357,0.0158885080690923,0.0203656770456191,0.00125006344067203,0.00191002161053022,0.0695378881017895,0.0068968220989684,0.00955550439353824,0.00661136575438864,0.0350349821021803,0.0375949261453726,0.0146322036492254,0.0296509963461031,0.0379857328672466,0.0133143467631716,0.0610173350041771,0.0127400606469003,0.00863715861118291,0.0164524407631204,0.0470171542910129
ID,0.000942721592823996,,,,0.0149257383346791,,0.00548967156032373,,0.00329119095716912,0.0293792994207096,0.0122506125306265,,0.00333766563237906,0.00765677223537064,0.016116035455278,0.0038037999961962,0.00538968434754312,0.000333806225486105,0.00170047783427143,,0.00508088773270466,0.0113435484802402,0.00116030910609858,0.00842318059299192,0.00796932885327819,0.00932185937040306,0.0163926209706937
